celda_id,dtot,ini_dia,fin_dia,valida,lon,anio_inicio,anio_fin
c0945_m08305,9,NA,NA,FALSE,NA,2002,2025
c0945_m08315,2,NA,NA,FALSE,NA,2002,2025
c0945_m08335,10,NA,NA,FALSE,NA,2002,2025
c0945_m08345,2,NA,NA,FALSE,NA,2002,2025
c0945_m08365,2,NA,NA,FALSE,NA,2002,2025
c0945_m08375,7,NA,NA,FALSE,NA,2002,2025
c0945_m08385,2,NA,NA,FALSE,NA,2002,2025
c0945_m08415,10,NA,NA,FALSE,NA,2002,2025
c0945_m08425,37,161,224,TRUE,64,2002,2025
c0945_m08435,42,149,269,TRUE,121,2002,2025
c0945_m08445,39,115,232,TRUE,118,2002,2025
c0945_m08455,7,NA,NA,FALSE,NA,2002,2025
c0945_m08465,1,NA,NA,FALSE,NA,2002,2025
c0955_m08265,1,NA,NA,FALSE,NA,2002,2025
c0955_m08275,2,NA,NA,FALSE,NA,2002,2025
c0955_m08285,2,NA,NA,FALSE,NA,2002,2025
c0955_m08295,7,NA,NA,FALSE,NA,2002,2025
c0955_m08305,5,NA,NA,FALSE,NA,2002,2025
c0955_m08315,3,NA,NA,FALSE,NA,2002,2025
c0955_m08325,2,NA,NA,FALSE,NA,2002,2025
c0955_m08335,9,NA,NA,FALSE,NA,2002,2025
c0955_m08355,3,NA,NA,FALSE,NA,2002,2025
c0955_m08375,1,NA,NA,FALSE,NA,2002,2025
c0955_m08385,1,NA,NA,FALSE,NA,2002,2025
c0955_m08395,2,NA,NA,FALSE,NA,2002,2025
c0955_m08405,4,NA,NA,FALSE,NA,2002,2025
c0955_m08415,11,NA,NA,FALSE,NA,2002,2025
c0955_m08425,5,NA,NA,FALSE,NA,2002,2025
c0955_m08435,82,137,218,TRUE,82,2002,2025
c0955_m08445,48,182,225,TRUE,44,2002,2025
c0955_m08455,27,NA,NA,FALSE,NA,2002,2025
c0955_m08465,28,NA,NA,FALSE,NA,2002,2025
c0965_m08285,1,NA,NA,FALSE,NA,2002,2025
c0965_m08295,5,NA,NA,FALSE,NA,2002,2025
c0965_m08305,6,NA,NA,FALSE,NA,2002,2025
c0965_m08315,17,NA,NA,FALSE,NA,2002,2025
c0965_m08325,1,NA,NA,FALSE,NA,2002,2025
c0965_m08335,2,NA,NA,FALSE,NA,2002,2025
c0965_m08345,2,NA,NA,FALSE,NA,2002,2025
c0965_m08395,6,NA,NA,FALSE,NA,2002,2025
c0965_m08405,7,NA,NA,FALSE,NA,2002,2025
c0965_m08415,8,NA,NA,FALSE,NA,2002,2025
c0965_m08425,17,NA,NA,FALSE,NA,2002,2025
c0965_m08435,33,176,218,TRUE,43,2002,2025
c0965_m08445,20,NA,NA,FALSE,NA,2002,2025
c0965_m08455,27,NA,NA,FALSE,NA,2002,2025
c0965_m08465,16,NA,NA,FALSE,NA,2002,2025
c0965_m08505,8,NA,NA,FALSE,NA,2002,2025
c0965_m08515,26,NA,NA,FALSE,NA,2002,2025
c0965_m08525,17,NA,NA,FALSE,NA,2002,2025
c0975_m08295,2,NA,NA,FALSE,NA,2002,2025
c0975_m08305,1,NA,NA,FALSE,NA,2002,2025
c0975_m08335,1,NA,NA,FALSE,NA,2002,2025
c0975_m08345,7,NA,NA,FALSE,NA,2002,2025
c0975_m08365,3,NA,NA,FALSE,NA,2002,2025
c0975_m08375,15,NA,NA,FALSE,NA,2002,2025
c0975_m08385,2,NA,NA,FALSE,NA,2002,2025
c0975_m08395,4,NA,NA,FALSE,NA,2002,2025
c0975_m08405,3,NA,NA,FALSE,NA,2002,2025
c0975_m08415,25,NA,NA,FALSE,NA,2002,2025
c0975_m08425,8,NA,NA,FALSE,NA,2002,2025
c0975_m08435,24,NA,NA,FALSE,NA,2002,2025
c0975_m08445,17,NA,NA,FALSE,NA,2002,2025
c0975_m08465,107,108,220,TRUE,113,2002,2025
c0975_m08475,18,NA,NA,FALSE,NA,2002,2025
c0975_m08495,3,NA,NA,FALSE,NA,2002,2025
c0975_m08505,33,196,226,TRUE,31,2002,2025
c0975_m08515,22,NA,NA,FALSE,NA,2002,2025
c0975_m08525,93,199,257,TRUE,59,2002,2025
c0975_m08535,13,NA,NA,FALSE,NA,2002,2025
c0985_m08305,3,NA,NA,FALSE,NA,2002,2025
c0985_m08315,2,NA,NA,FALSE,NA,2002,2025
c0985_m08355,3,NA,NA,FALSE,NA,2002,2025
c0985_m08365,7,NA,NA,FALSE,NA,2002,2025
c0985_m08375,31,171,260,TRUE,90,2002,2025
c0985_m08385,14,NA,NA,FALSE,NA,2002,2025
c0985_m08395,1,NA,NA,FALSE,NA,2002,2025
c0985_m08405,5,NA,NA,FALSE,NA,2002,2025
c0985_m08415,1,NA,NA,FALSE,NA,2002,2025
c0985_m08425,12,NA,NA,FALSE,NA,2002,2025
c0985_m08435,33,148,206,TRUE,59,2002,2025
c0985_m08445,55,153,220,TRUE,68,2002,2025
c0985_m08455,183,163,218,TRUE,56,2002,2025
c0985_m08465,189,155,229,TRUE,75,2002,2025
c0985_m08475,165,156,227,TRUE,72,2002,2025
c0985_m08495,32,207,235,TRUE,29,2002,2025
c0985_m08505,98,123,233,TRUE,111,2002,2025
c0985_m08515,39,183,240,TRUE,58,2002,2025
c0985_m08525,85,185,241,TRUE,57,2002,2025
c0985_m08535,27,NA,NA,FALSE,NA,2002,2025
c0985_m08545,15,NA,NA,FALSE,NA,2002,2025
c0985_m08555,54,205,239,TRUE,35,2002,2025
c0985_m08565,58,165,240,TRUE,76,2002,2025
c0985_m08575,1,NA,NA,FALSE,NA,2002,2025
c0995_m08315,1,NA,NA,FALSE,NA,2002,2025
c0995_m08325,2,NA,NA,FALSE,NA,2002,2025
c0995_m08335,5,NA,NA,FALSE,NA,2002,2025
c0995_m08365,3,NA,NA,FALSE,NA,2002,2025
c0995_m08375,1,NA,NA,FALSE,NA,2002,2025
c0995_m08385,1,NA,NA,FALSE,NA,2002,2025
c0995_m08405,1,NA,NA,FALSE,NA,2002,2025
c0995_m08415,5,NA,NA,FALSE,NA,2002,2025
c0995_m08425,13,NA,NA,FALSE,NA,2002,2025
c0995_m08435,143,156,215,TRUE,60,2002,2025
c0995_m08445,44,153,221,TRUE,69,2002,2025
c0995_m08455,7,NA,NA,FALSE,NA,2002,2025
c0995_m08465,34,145,230,TRUE,86,2002,2025
